covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),comorbidity_outcome
hypertension,0.039875715656817204,1.0406814257471,0.06546445053455954,-0.08843224965862338,0.16818368097225778,0.9153651249349309,1.1831539135511673,0.0,0.6091201458380269,0.542444805157173,0.8824517469654773,obesity
ckd,0.06479885646751711,1.066944393834804,0.0990264596060733,-0.129289437876897,0.25888715081193125,0.8787195940013035,1.2954876018547377,0.0,0.6543590139977395,0.5128805335907543,0.9633052801037025,obesity
heart_failure,-0.002463928049827503,0.9975391049293643,0.10826049106436274,-0.2146505914845988,0.2097227353849438,0.8068233018641179,1.2333360520998755,0.0,-0.02275925432818012,0.9818423099341426,0.026436757662967235,obesity
hyperlipidemia,0.048375727782383506,1.049564931953841,0.06721496506118854,-0.0833631829596641,0.1801146385244311,0.9200169520572147,1.1973546182209525,0.0,0.7197166246883427,0.4716994882502127,1.0840600592080671,obesity
neuropathy,0.0046195486077176455,1.004630235171751,0.08318168705775082,-0.1584135621987555,0.1676526594141908,0.8534967349837196,1.1825258001022114,0.0,0.055535644576557054,0.9557117334903935,0.06535256389635115,obesity
retinopathy,-0.15412677950407264,0.857163343378972,0.09909872515289855,-0.34835671171758736,0.04010315270944209,0.7058470473892801,1.040918142181317,0.0,-1.5552851892521502,0.11987816312247869,3.0603592119825787,obesity
depression,-0.10038997442330112,0.904484623380597,0.09528400442943148,-0.2871431914077418,0.08636324256113957,0.7504042696998853,1.090202264253009,0.0,-1.053586853579933,0.2920721106550799,1.7756034900258688,obesity
atrial_fibrillation,-0.006981510486252417,0.9930428036420642,0.11774574413875037,-0.23775892833107132,0.22379590735856647,0.7883927273372233,1.2508157110935487,0.0,-0.05929310258573318,0.9527186547902596,0.06987785689589426,obesity
sleep_apnea,-0.017053619028716528,0.9830909708386947,0.0966901960711315,-0.20656292098625048,0.17245568292881744,0.8133750814845123,1.1882191610549973,0.0,-0.17637381783951286,0.8600002725468419,0.21759097786109785,obesity
nafld,-0.03682584366595022,0.9638439802672006,0.07656557125164713,-0.18689160577491393,0.1132399184430135,0.8295336481693328,1.1199005855247524,0.0,-0.48097131731591436,0.6305368843196627,0.6653473289831192,obesity
pvd,-0.10938948351089098,0.8963812237939148,0.13634913792295458,-0.3766288831629664,0.15784991614118446,0.6861706761405026,1.1709904347555493,0.0,-0.8022748451310531,0.42239399004276834,1.24333878717295,obesity
stroke,0.014843788947320646,1.0149545051200022,0.13568960064144558,-0.2511029413865357,0.280790519281177,0.7779422849794557,1.3241761855001783,0.0,0.10939518487157149,0.9128890527448089,0.1314885608345346,obesity
mi,0.13461409357955284,1.1440951854711974,0.12505291191052337,-0.11048510992693292,0.3797132970860386,0.8953996626566263,1.4618654082744942,0.0,1.0764570894268388,0.28172288196894596,1.8276513484891903,obesity
drug_class_num,0.031926270242282846,1.032441380845967,0.04566495780255244,-0.057575402406261265,0.12142794289082695,0.9440507040079289,1.1291080027351734,0.0,0.6991415689099428,0.48446356245213784,1.0455399333676245,ckd
age_at_index,0.001320426275913272,1.0013212984225146,0.0027055301538739247,-0.003982315384766731,0.006623167936593274,0.9960256035178019,1.0066451496160063,0.0,0.48804714818003936,0.6255164455917384,0.6768802797820382,ckd
cci,-0.03305253623269195,0.9674877300933338,0.06060637360899462,-0.15183884573990022,0.08573377327451631,0.8591267215168015,1.089516231352427,0.0,-0.545364031280476,0.5855031734224345,0.7722511047443019,ckd
hypertension,0.1246152929614896,1.1327126067232078,0.07284988399431579,-0.018167855945290273,0.26739844186826944,0.98199618462551,1.306560931210724,0.0,1.7105764090333058,0.0871593370073144,3.520200967390404,ckd
obesity,0.0028583604491349323,1.0028624494563876,0.07775007147409836,-0.14952897943551288,0.15524570033378274,0.8611134830754607,1.1679448903037692,0.0,0.036763444649528916,0.9706736212763732,0.042941808634074735,ckd
heart_failure,0.2541149930874781,1.2893200586378173,0.11746816532037421,0.023881619729547665,0.4843483664454085,1.02416906930263,1.6231169866687516,0.0,2.163266893582812,0.030520657861775127,5.034070130495735,ckd
hyperlipidemia,0.026458986956124364,1.0268121337069938,0.07477886787393549,-0.1201049008814685,0.17302287479371722,0.8868274028613056,1.1888933004619864,0.0,0.35382973436733134,0.7234664883617699,0.46700190355401144,ckd
neuropathy,-0.15181822090993227,0.8591444410420841,0.09455256025565917,-0.33713783365707756,0.03350139183721301,0.7138104460176465,1.034068882980829,0.0,-1.6056489692022446,0.10835105956271242,3.2062148333026013,ckd
retinopathy,-0.06478993418276045,0.9372643298966455,0.10801154821515478,-0.2764886785988754,0.1469088102333545,0.758442205711505,1.1582483378183162,0.0,-0.5998426580619087,0.5486111008592296,0.8661442802248143,ckd
depression,0.02070227285340187,1.0209180513668636,0.10454567293673861,-0.18420348084210963,0.22560802654891338,0.8317665380504833,1.253084393187568,0.0,0.1980213266782354,0.8430283778426071,0.24634689920787403,ckd
atrial_fibrillation,0.10540709358823662,1.111162865572421,0.12843432086220968,-0.14631954968055566,0.3571337368570289,0.8638816059823762,1.4292269973998066,0.0,0.820708147795808,0.4118125286539511,1.2799403728531558,ckd
